State,Latitude,Longitude
Andhra Pradesh, -94, -152
Arunachal Pradesh, 225, 160
Assam, 172, 112
Bihar, 55, 86
Chhattisgarh, -25, -3
Goa, -176, -141
Gujarat, -233, 31
Haryana, -130, 170
Himachal Pradesh, -113, 226
Jharkhand, 38, 43
Karnataka, -164, -169
Kerala, -122, -265
Madhya Pradesh, -126, 25
Maharashtra, -166, -49
Manipur, 224, 75
Meghalaya, 155, 90
Mizoram, 208, 38
Nagaland, 236, 116
Odisha, 30, -25
Punjab, -150, 203
Rajasthan, -202, 107
Sikkim, 113, 135
Tamil Nadu, -103, -236
Telangana, -85, -89
Tripura, 187, 53
Uttar Pradesh, -56, 111
Uttarakhand, -70, 189
West Bengal, 84, 36
Jammu & Kashmir, -158, 290