States,Rainfall,Ground Water,Temperature,Soil type,Season,Crop
15,148.8,4,28.5,3,2,Banana
15,148.8,4,29,4,2,Banana
15,148.8,4,28.5,1,2,Banana
16,117.5,4,30,3,1,Rice
16,117.5,4,30,1,1,Rice
16,117.5,4,22.5,3,4,Oilseed
16,117.5,4,22.5,4,4,Oilseed
16,117.5,4,22.5,1,4,Oilseed
16,117.5,4,26.5,1,4,Cocoa
16,117.5,4,26.5,2,4,Cocoa
16,117.5,4,30,3,1,Jute
16,117.5,4,30,1,1,Jute
16,117.5,4,30,2,1,Jute
16,117.5,4,15,1,2,Flax
16,117.5,4,30,4,1,Clove
16,117.5,4,30.5,1,1,Clove
16,117.5,4,30,5,1,Clove
16,117.5,4,27.5,1,2,Black Pepper
16,117.5,4,27.5,5,2,Black Pepper
16,117.5,4,27.5,6,2,Black Pepper
16,117.5,4,27.5,2,2,Black Pepper
16,117.5,4,22.5,4,1,Cardamom
16,117.5,4,22.5,1,1,Cardamom
16,117.5,4,22.5,5,1,Cardamom
16,117.5,4,25,1,1,Turmeric
16,117.5,4,25.5,2,1,Turmeric
16,117.5,4,28.5,3,2,Banana
16,117.5,4,28.5,4,2,Banana
16,117.5,4,28.5,1,2,Banana
17,257,8,25,1,1,Turmeric
17,257,8,25.5,2,1,Turmeric
17,257,8,31.5,1,1,Dry Ginger
17,257,8,31.5,6,1,Dry Ginger
17,257,8,31.5,2,1,Dry Ginger
17,257,8,28.5,1,2,Sunflower
17,257,8,28.5,2,2,Sunflower
17,257,8,22,3,4,Tomato
17,257,8,22,1,4,Tomato
17,257,8,22,2,4,Tomato
17,257,8,31,6,1,Cowpea
17,257,8,31,2,1,Cowpea
18,215,18.1,25,3,1,Tea
18,215,18.1,25.5,5,1,Tea
18,215,18.1,30,4,1,Clove
18,215,18.1,30.5,1,1,Clove
18,215,18.1,30,5,1,Clove
18,215,18.1,27.5,1,2,Black Pepper
18,215,18.1,27.5,5,2,Black Pepper
18,215,18.1,27.5,6,2,Black Pepper
18,215,18.1,27.5,2,2,Black Pepper
18,215,18.1,22.5,4,1,Cardamom
18,215,18.1,22.5,1,1,Cardamom
18,215,18.1,22.5,5,1,Cardamom
18,215,18.1,25,5,2,Cashewnut
18,215,18.1,25.5,6,2,Cashewnut
18,215,18.1,25,2,2,Cashewnut
18,215,18.1,23.5,3,1,Millet Nandi-65 (MH-1549)
18,215,18.1,23.5,1,1,Maize PMH 5 (JH 3110)
18,215,18.1,23.5,1,1,Maize PMH 5 (JH 3110)
19,215,5,27.5,1,2,Black Pepper
19,215,5,27.5,5,2,Black Pepper
19,215,5,27.5,6,2,Black Pepper
19,215,5,27.5,2,2,Black Pepper
19,215,5,25,5,2,Cashewnut
19,215,5,25,6,2,Cashewnut
19,215,5,25,2,2,Cashewnut
19,215,5,31.5,1,1,Dry Ginger
19,215,5,31.5,6,1,Dry Ginger
19,215,5,31.5,2,1,Dry Ginger
19,215,5,27,4,2,Horse Gram
19,215,5,27,1,2,Horse Gram
19,215,5,27,6,2,Horse Gram
19,215,5,27.5,6,1,Ragi
19,215,5,28,2,1,Ragi
19,215,5,24,1,1,Masoor
19,215,5,24,6,1,Masoor
19,215,5,24,2,1,Masoor
19,215,5,31,3,1,Cowpea
19,215,5,30,4,1,Bajra
19,215,5,30.5,2,1,Bajra
19,215,5,22,1,1,Maize MCH 36 (Hybrid) (DKC 9099)
19,215,5,22,2,1,Maize MCH 36 (Hybrid) (DKC 9099)
19,215,5,18.5,1,2,Wheat MPO(JW) 1215 (MPO 1215)
20,60,8.9,30,4,1,Bajra
20,60,8.9,30.5,2,1,Bajra
20,60,8.9,30,3,1,Jute
20,60,8.9,30,1,1,Jute
20,60,8.9,30,2,1,Jute
20,60,8.9,27.5,1,2,Black Pepper
20,60,8.9,27.5,5,2,Black Pepper
20,60,8.9,27.5,6,2,Black Pepper
20,60,8.9,27.5,2,2,Black Pepper
20,60,8.9,30,4,1,Urad
20,60,8.9,30.5,2,1,Urad
20,60,8.9,32.5,2,1,Arhar
20,60,8.9,28.5,1,2,Sunflower
20,60,8.9,28.5,2,2,Sunflower
20,60,8.9,23,2,1,Castor Seed
20,60,8.9,23,1,1,Castor Seed
20,60,8.9,27.5,6,1,Ragi
20,60,8.9,28,2,1,Ragi
20,60,8.9,24,1,1,Masoor
20,60,8.9,24,6,1,Masoor
20,60,8.9,24,2,1,Masoor
20,60,8.9,28,2,2,Sesame
20,60,8.9,31,3,1,Cowpea
20,60,8.9,30,4,2,Black Gram
20,60,8.9,30,2,2,Black Gram
20,60,8.9,30,2,2,Black Gram
20,60,8.9,21,1,1,Maize HSC1
20,60,8.9,21,2,1,Maize HSC1
20,60,8.9,21.5,1,1,Maize HQPM-4
20,60,8.9,21.5,2,1,Maize HQPM-4
20,60,8.9,28.5,3,1,Millet 86M64 (MSH 203) (Hybrid)
20,60,8.9,28.5,2,1,Millet 86M64 (MSH 203) (Hybrid)
20,60,8.9,29,3,1,Millet MH 1540 (86M64) (Hybrid)
20,60,8.9,29,2,1,Millet MH 1540 (86M64) (Hybrid)
20,60,8.9,25,2,1,Groundnut Girnar - 3 (PBS 12160)
20,60,8.9,20.5,1,2,Lentil Pant Lentil-7(Pant L-024)
20,60,8.9,20.5,2,2,Lentil Pant Lentil-7(Pant L-024)
20,60,8.9,27.5,1,1,Sugarcane Karan 6 (Co 0239)
20,60,8.9,27.5,2,1,Sugarcane Karan 6 (Co 0239)
20,60,8.9,30,3,1,Rice
21,48.8,32,30,1,1,Rice
21,48.8,32,22.5,3,4,Oilseed
21,48.8,32,22.5,4,4,Oilseed
21,48.8,32,22.5,1,4,Oilseed
21,48.8,32,25,3,1,Tea
21,48.8,32,25,5,1,Tea
21,48.8,32,30,3,1,Jute
21,48.8,32,30,1,1,Jute
21,48.8,32,30,2,1,Jute
21,48.8,32,20.5,3,2,Onion
21,48.8,32,20.5,1,2,Onion
21,48.8,32,20.5,2,2,Onion
21,48.8,32,30.5,3,1,Paddy (CNI 383-5-11)
21,48.8,32,30.5,1,1,Paddy (CNI 383-5-11)
21,48.8,32,31,3,1,Paddy IGKVR-1 (IET 19569)
21,48.8,32,31,1,1,Paddy IGKVR-1 (IET 19569)
21,48.8,32,27.5,3,1,Millet Nandi-65 (MH-1549)
21,48.8,32,27.5,2,1,Millet Nandi-65 (MH-1549)
21,48.8,32,28,3,1,Millet Nandi-61 (MH-1548)
21,48.8,32,25,1,2,Pulses
21,48.8,32,28.5,1,1,Sugarcane Co-0218
21,48.8,32,28.5,2,1,Sugarcane Co-0218
22,299.5,50,30,4,1,Bajra
22,299.5,50,30,2,1,Bajra
22,299.5,50,22.5,3,4,Oilseed
22,299.5,50,22.5,4,4,Oilseed
22,299.5,50,22.5,1,4,Oilseed
22,299.5,50,30,4,1,Clove
22,299.5,50,30,1,1,Clove
22,299.5,50,30,4,1,Clove
22,299.5,50,30,1,1,Clove
22,299.5,50,30,5,1,Clove
22,299.5,50,22.5,4,1,Cardamom
22,299.5,50,22.5,1,1,Cardamom
22,299.5,50,22.5,5,1,Cardamom
22,299.5,50,30,4,1,Urad
22,299.5,50,30,2,1,Urad
22,299.5,50,27,4,2,Horse Gram
22,299.5,50,27,1,2,Horse Gram
22,299.5,50,27,6,2,Horse Gram
22,299.5,50,30,4,2,Black Gram
22,299.5,50,30,2,2,Black Gram
22,299.5,50,30,2,2,Black Gram
22,299.5,50,22.5,1,1,Cotton CNH012
23,145,16.67,30,3,1,Rice
23,145,16.67,30,1,1,Rice
23,145,16.67,22.5,3,4,Oilseed
23,145,16.67,22.5,4,4,Oilseed
23,145,16.67,22.5,1,4,Oilseed
23,145,16.67,30,3,1,Jute
23,145,16.67,30,1,1,Jute
23,145,16.67,30,2,1,Jute
23,145,16.67,15,1,2,Flax
23,145,16.67,30,4,1,Clove
23,145,16.67,30,1,1,Clove
23,145,16.67,30,5,1,Clove
23,145,16.67,27.5,1,2,Black Pepper
23,145,16.67,27.5,5,2,Black Pepper
23,145,16.67,27.5,6,2,Black Pepper
23,145,16.67,27.5,2,2,Black Pepper
23,145,16.67,22.5,4,1,Cardamom
23,145,16.67,22.5,1,1,Cardamom
23,145,16.67,22.5,5,1,Cardamom
23,145,16.67,25,1,1,Turmeric
23,145,16.67,25,2,1,Turmeric
23,145,16.67,28.5,3,2,Banana
23,145,16.67,28.5,4,2,Banana
23,145,16.67,28.5,1,2,Banana
23,145,16.67,24,1,1,Masoor
23,145,16.67,24,6,1,Masoor
23,145,16.67,24,2,1,Masoor
24,87.5,8,30,3,1,Rice
24,87.5,8,30,1,1,Rice
24,87.5,8,21.5,1,1,Maize HQPM-4
24,87.5,8,21.5,2,1,Maize HQPM-4
24,87.5,8,29.5,1,1,Jowar
24,87.5,8,28,2,2,Sesame
24,87.5,8,23,2,1,Castor Seed
24,87.5,8,23,1,1,Castor Seed
24,87.5,8,25,2,1,Groundnut Girnar - 3 (PBS 12160)
24,87.5,8,30,4,2,Black Gram
24,87.5,8,30,2,2,Black Gram
24,87.5,8,30,2,2,Black Gram
25,238.5,6.7,25,3,1,Tea
25,238.5,6.7,25,5,1,Tea
25,238.5,6.7,30,4,1,Clove
25,238.5,6.7,30,1,1,Clove
25,238.5,6.7,30,5,1,Clove
25,238.5,6.7,27.5,1,2,Black Pepper
25,238.5,6.7,27.5,5,2,Black Pepper
25,238.5,6.7,27.5,6,2,Black Pepper
25,238.5,6.7,27.5,2,2,Black Pepper
25,238.5,6.7,22.5,4,1,Cardamom
25,238.5,6.7,22.5,1,1,Cardamom
25,238.5,6.7,22.5,5,1,Cardamom
25,238.5,6.7,25,5,2,Cashewnut
25,238.5,6.7,25,6,2,Cashewnut
25,238.5,6.7,25,2,2,Cashewnut
25,238.5,6.7,27.5,1,1,Sugarcane Karan 6 (Co 0239)
25,238.5,6.7,27.5,2,1,Sugarcane Karan 6 (Co 0239)
25,238.5,6.7,30,3,1,Rice
25,238.5,6.7,30,1,1,Rice
26,134.65,6,27.5,5,2,Black Pepper
26,134.65,6,27.5,1,2,Black Pepper
26,134.65,6,27.5,6,2,Black Pepper
26,134.65,6,27.5,2,2,Black Pepper
26,134.65,6,25,5,2,Cashewnut
26,134.65,6,25,6,2,Cashewnut
26,134.65,6,25,2,2,Cashewnut
26,134.65,6,27,4,2,Horse Gram
26,134.65,6,27,1,2,Horse Gram
26,134.65,6,27,6,2,Horse Gram
26,134.65,6,31.5,1,1,Dry Ginger
26,134.65,6,31.5,6,1,Dry Ginger
26,134.65,6,31.5,2,1,Dry Ginger
26,134.65,6,27.5,6,1,Ragi
26,134.65,6,27.5,2,1,Ragi
26,134.65,6,24,1,1,Masoor
26,134.65,6,24,6,1,Masoor
26,134.65,6,24,2,1,Masoor
26,134.65,6,30,3,1,Rice
26,134.65,6,30,1,1,Rice
26,134.65,6,21.5,1,1,Maize HQPM-4
26,134.65,6,21.5,2,1,Maize HQPM-4
26,134.65,6,27.5,3,1,Millet Nandi-65 (MH-1549)
26,134.65,6,27.5,2,1,Millet Nandi-65 (MH-1549)
26,134.65,6,30,1,3,Moong
26,134.65,6,30,2,3,Moong
26,134.65,6,-8.5,1,2,Wheat PDW 314
26,134.65,6,30,4,2,Black Gram
26,134.65,6,30,2,2,Black Gram
26,134.65,6,28.5,1,1,Sugarcane Co-0218
26,134.65,6,28.5,2,1,Sugarcane Co-0218
27,164.5,7.5,30,4,1,Bajra
27,164.5,7.5,30,2,1,Bajra
27,164.5,7.5,21.5,2,1,Coffee
27,164.5,7.5,26.5,1,4,Cocoa
27,164.5,7.5,26.5,2,4,Cocoa
27,164.5,7.5,27.5,5,2,Black Pepper
27,164.5,7.5,27.5,6,2,Black Pepper
27,164.5,7.5,27.5,1,2,Black Pepper
27,164.5,7.5,27.5,2,2,Black Pepper
27,164.5,7.5,30,3,1,Jute
27,164.5,7.5,30,1,1,Jute
27,164.5,7.5,30,2,1,Jute
27,164.5,7.5,25,5,2,Cashewnut
27,164.5,7.5,25,6,2,Cashewnut
27,164.5,7.5,25,2,2,Cashewnut
27,164.5,7.5,31.5,1,1,Dry Ginger
27,164.5,7.5,31.5,6,1,Dry Ginger
27,164.5,7.5,31.5,2,1,Dry Ginger
27,164.5,7.5,37.5,2,4,Sweet potato
27,164.5,7.5,30,1,3,Moong
27,164.5,7.5,30,2,3,Moong
27,164.5,7.5,29.5,1,1,Jowar
28,250,9,30,3,1,Rice
28,250,9,30,1,1,Rice
28,250,9,22.5,3,4,Oilseed
28,250,9,22.5,4,4,Oilseed
28,250,9,22.5,1,4,Oilseed
28,250,9,25,3,1,Tea
28,250,9,25,5,1,Tea
28,250,9,30,3,1,Jute
28,250,9,30,1,1,Jute
28,250,9,30,2,1,Jute
28,250,9,28.5,3,2,Banana
28,250,9,28.5,4,2,Banana
28,250,9,28.5,1,2,Banana
28,250,9,30,3,1,Paddy Chinsurah Rice (IET 19140)
28,250,9,30,1,1,Paddy Chinsurah Rice (IET 19140)
28,250,9,30.5,3,1,Paddy (CNI 383-5-11)
28,250,9,30.5,1,1,Paddy (CNI 383-5-11)
28,250,9,27.5,3,1,Millet Nandi-65 (MH-1549)
28,250,9,27.5,2,1,Millet Nandi-65 (MH-1549)
28,250,9,28,3,1,Millet Nandi-61 (MH-1548)
28,250,9,28,2,1,Millet Nandi-61 (MH-1548)
28,250,9,30.5,3,1,Millet HHB 226 (MH 1479)
28,250,9,30.5,2,1,Millet HHB 226 (MH 1479)
29,277,3.5,30,4,1,Bajra
29,277,3.5,30,2,1,Bajra
29,277,3.5,22.5,3,4,Oilseed
29,277,3.5,22.5,4,4,Oilseed
29,277,3.5,22.5,1,4,Oilseed
29,277,3.5,30,4,1,Clove
29,277,3.5,30,1,1,Clove
29,277,3.5,30,5,1,Clove
29,277,3.5,22.5,4,1,Cardamom
29,277,3.5,22.5,1,1,Cardamom
29,277,3.5,22.5,5,1,Cardamom
29,277,3.5,28.5,3,2,Banana
29,277,3.5,28.5,4,2,Banana
29,277,3.5,28.5,1,2,Banana
29,277,3.5,30,4,1,Urad
29,277,3.5,30,2,1,Urad
29,277,3.5,27,4,2,Horse Gram
29,277,3.5,27,1,2,Horse Gram
29,277,3.5,27,6,2,Horse Gram
29,277,3.5,30,4,2,Black Gram
29,277,3.5,30,2,2,Black Gram
29,277,3.5,30,2,2,Black Gram
29,277,3.5,22.5,1,1,Cotton CNH012
29,277,3.5,23,1,1,Cotton CICR-3 (CISA 614)
30,89,2,30,3,1,Rice
30,89,2,30,1,1,Rice
30,89,2,22.5,3,4,Oilseed
30,89,2,22.5,4,4,Oilseed
30,89,2,22.5,1,4,Oilseed
30,89,2,25,3,1,Tea
30,89,2,25,5,1,Tea
30,89,2,28.5,3,2,Banana
30,89,2,28.5,4,2,Banana
30,89,2,28.5,1,2,Banana
30,89,2,30,3,1,Paddy Chinsurah Rice (IET 19140)
30,89,2,30,1,1,Paddy Chinsurah Rice (IET 19140)
30,89,2,30.5,3,1,Paddy (CNI 383-5-11)
30,89,2,30.5,1,1,Paddy (CNI 383-5-11)
30,89,2,27.5,3,1,Millet Nandi-65 (MH-1549)
30,89,2,27.5,2,1,Millet Nandi-65 (MH-1549)
30,89,2,28,1,1,Millet Nandi-61 (MH-1548)
31,105.5,28,30,4,1,Bajra
31,105.5,28,30,2,1,Bajra
31,105.5,28,22.5,3,4,Oilseed
31,105.5,28,22.5,4,4,Oilseed
31,105.5,28,22.5,1,4,Oilseed
31,105.5,28,30,4,1,Clove
31,105.5,28,30,1,1,Clove
31,105.5,28,30,5,1,Clove
31,105.5,28,30,4,1,Urad
31,105.5,28,30,2,1,Urad
31,105.5,28,27,4,2,Horse Gram
31,105.5,28,27,1,2,Horse Gram
31,105.5,28,27,6,2,Horse Gram
31,105.5,28,33.5,3,1,Paddy RC Maniphou 11 (IET 20193)
31,105.5,28,33.5,1,1,Paddy RC Maniphou 11 (IET 20193)
31,105.5,28,21,1,1,Maize HSC1
31,105.5,28,21,2,1,Maize HSC1
31,105.5,28,20.5,1,2,Wheat VL Gehun 907 (VL 907)
32,90,6.7,30,3,1,Rice
32,90,6.7,30,1,1,Rice
32,90,6.7,22.5,3,4,Oilseed
32,90,6.7,22.5,4,4,Oilseed
32,90,6.7,22.5,1,4,Oilseed
32,90,6.7,26.5,1,4,Cocoa
32,90,6.7,26.5,2,4,Cocoa
32,90,6.7,30,3,1,Jute
32,90,6.7,30,1,1,Jute
32,90,6.7,30,2,1,Jute
32,90,6.7,15,1,2,Flax
32,90,6.7,30,4,1,Clove
32,90,6.7,30,1,1,Clove
32,90,6.7,30,5,1,Clove
32,90,6.7,27.5,5,2,Black Pepper
32,90,6.7,27.5,6,2,Black Pepper
32,90,6.7,27.5,2,2,Black Pepper
32,90,6.7,27.5,1,2,Black Pepper
32,90,6.7,22.5,4,1,Cardamom
32,90,6.7,22.5,1,1,Cardamom
32,90,6.7,22.5,5,1,Cardamom
32,90,6.7,25,1,1,Turmeric
32,90,6.7,25,2,1,Turmeric
32,90,6.7,27,4,2,Horse Gram
32,90,6.7,27,1,2,Horse Gram
32,90,6.7,27,6,2,Horse Gram
33,111.5,17,30,3,1,Rice
33,111.5,17,30,1,1,Rice
33,111.5,17,18.5,1,2,Wheat MPO(JW) 1215 (MPO 1215)
33,111.5,17,21.5,1,1,Maize HQPM-4
33,111.5,17,21.5,2,1,Maize HQPM-4
33,111.5,17,18.5,1,2,Barley Pusa Losar (BH- 380)
34,30,3.8,21.5,2,1,Coffee
34,30,3.8,26.5,1,4,Cocoa
34,30,3.8,26.5,2,4,Cocoa
34,30,3.8,30,4,1,Clove
34,30,3.8,30,1,1,Clove
34,30,3.8,30,5,1,Clove
34,30,3.8,27.5,1,2,Black Pepper
34,30,3.8,27.5,5,2,Black Pepper
34,30,3.8,27.5,6,2,Black Pepper
34,30,3.8,27.5,2,2,Black Pepper
34,30,3.8,22.5,4,1,Cardamom
34,30,3.8,22.5,1,1,Cardamom
34,30,3.8,22.5,5,1,Cardamom
34,30,3.8,28.5,3,2,Banana
34,30,3.8,28.5,4,2,Banana
34,30,3.8,28.5,1,2,Banana
34,30,3.8,29.5,1,1,Jowar
34,30,3.8,27.5,6,1,Ragi
34,30,3.8,27.5,2,1,Ragi
35,137.5,12.3,27.5,5,2,Black Pepper
35,137.5,12.3,27.5,2,2,Black Pepper
35,137.5,12.3,27.5,6,2,Black Pepper
35,137.5,12.3,27.5,1,2,Black Pepper
35,137.5,12.3,30,3,1,Rice
35,137.5,12.3,30,1,1,Rice
35,137.5,12.3,30,6,1,Ragi
35,137.5,12.3,30,2,1,Ragi
35,137.5,12.3,30,4,1,Bajra
35,137.5,12.3,30,2,1,Bajra
35,137.5,12.3,25,1,2,Pulses
35,137.5,12.3,28,1,1,Sugarcane Karan 5 (Co 0124)
35,137.5,12.3,28,2,1,Sugarcane Karan 5 (Co 0124)
35,137.5,12.3,23.5,1,1,Cotton VBCH 2231
35,137.5,12.3,25,2,1,Groundnut Girnar - 3 (PBS 12160)
36,15,22.3,18.5,1,2,Barley Pusa Losar (BH- 380)
36,15,22.3,22,1,2,Wheat WHD 943
36,15,22.3,30,3,1,Rice
36,15,22.3,30,1,1,Rice
